slang,formal
mgkin,mungkin
mgu,minggu
migas,minyak dan gas bumi
mikol,minuman beralkohol
miras,minuman keras
mkn,makan
mlah,malah
mngkn,mungkin
mnolak,tolak
mo,mau
mokad,mati
moso,masa
most,paling
mpe,sampai
msk,masuk
mslh,masalah
mubes,musyawarah besar
mulu,melulu
mumpung,selagi
munas,musyawarah nasional
munfik,munafik
muntaber,muntah dan berak
musti,mesti
muupz,maaf
mz,mas
n,dan
nanam,menanam
nanya,bertanya
napa,kenapa
napi,narapidana
narkoba,narkotika psikotropika dan obat terlarang
nasgor,nasi goreng
nda,tidak
ndiri,sendiri
ne,ini
negri,negeri
nekolin,neokolonialisme
nembak,menyatakan cinta
next,lanjut
ngabuburit,menunggu berbuka puasa
ngaku,mengaku
ngambil,mengambil
nganggur,tidak punya pekerjaan
ngapah,kenapa
ngaret,terlambat
ngasih,memberikan
ngebandel,berbuat bandel
ngebully,intimidasi
ngegosip,bergosip
ngehe,kesal
ngeklaim,mengklaim
ngeksis,menjadi eksis
ngeles,berkilah
ngelidur,menggigau
ngerampok,merampok
ngga,tidak
nggak,tidak
ngibul,berbohong
ngiler,mau
ngiri,iri
ngisiin,mengisikan
ngmng,bicara
ngomong,bicara
ngumpet,sembunyi
ngurus,mengurus
nie,ini
nih,ini
nipu,tipu
niyh,nih
nmenarik,menarik
nmr,nomor
nntn,nonton
nobar,nonton bareng
ntar,nanti
ntn,nonton
numpuk,bertumpuk
nutupin,menutupi
nyari,mencari
nyekar,menyekar
nyela,cela
nyembah,sembah
nyerang,serang
nyicil,mencicil
nyoblos,mencoblos
nyokap,ibu
ogah,tidak mau
ol,online
ongkir,ongkos kirim
oot,out of topic
org,orang
ortu,orang tua
otda,otonomi daerah
pacal,pacar
pake,pakai
pala,kepala
pansus,panitia khusus
paranoid,takut
parpol,partai politik
parte,partai
pasutri,pasangan suami istri
pd,pada
pdhl,padahal
pede,percaya diri
pelatnas,pemusatan latihan nasional
pemda,pemerintah daerah
pemkot,pemerintah kota
pemred,pemimpin redaksi
penertiban,tertib
pengen,ingin
penjas,pendidikan jasmani
perda,peraturan daerah
perhatiin,perhatikan
pesenan,pesanan
pgang,pegang
pi,tapi
pilkada,pemilihan kepala daerah
pisan,sangat
pk,penjahat kelamin
plg,paling
plis,tolong
plisss,tolong
pls,tolong
pmrnth,pemerintah
pndukung,pendukung
polantas,polisi lalu lintas
ponpes,pondok pesantren
pp,pulang pergi
prg,pergi
prnh,pernah
problem,masalah
progam,program
psen,pesan
pst,pasti
pswt,pesawat
pw,posisi nyaman
qmu,kamu
rakor,rapat koordinasi
ranmor,kendaraan bermotor
re,reply
ref,referensi
rehab,rehabilitasi
reklamuk,reklamasi
rempong,sulit
repp,balas
request,permintaan
restik,reserse narkotika
rhs,rahasia
rights,benar
rmh,rumah
ru,baru
rubahnn,rubah
ruko,rumah toko
rusunawa,rumah susun sewa
ruz,terus
rv,redvelvet
sadaar,sadar
saia,saya
salting,salah tingkah
sampe,sampai
samsek,sama sekali
sapose,siapa
satpam,satuan pengamanan
sbb,sebagai berikut
sbh,sebuah
sbnrny,sebenarnya
scr,secara
sdgkn,sedangkan
sdh,sudah
sdkt,sedikit
se7,setuju
sembako,sembilan bahan pokok
sempet,sempat
sendratari,seni drama tari
seneng,senang
sept,september
seting,akting
setting,atur
sgt,sangat
shg,sehingga
siech,sih
sikon,situasi dan kondisi
simiskin,miskin
sinetron,sinema elektronik
siramin,siramkan
sj,saja
skalian,sekalian
sklh,sekolah
skolah,sekolah
skrg,sekarang
skt,sakit
slesai,selesai
sll,selalu
slma,selama
slsai,selesai
sma,sama
smpt,sempat
smua,semua
smw,semua
sndiri,sendiri
sohib,teman
soljum,sholat jumat
solve,solusi
songong,sombong
sory,maaf
sosek,sosial-ekonomi
sospol,sosial-politik
sowry,maaf
spa,siapa
sppa,siapa
spt,seperti
srtfkt,sertifikat
stiap,setiap
still,masih
stlh,setelah
suk,masuk
sumpek,sempit
sya,saya
syg,sayang
t4,tempat
tajir,kaya
tak,tidak
tau,tahu
tauk,tahu
taw,tahu
td,tadi
tdk,tidak
teh,kakak perempuan
telat,terlambat
telmi,telat berpikir
temen,teman
tengil,menyebalkan
tepar,terkapar
tetep,tetap
tggu,tunggu
tgu,tunggu
thankz,terima kasih
thn,tahun
tilang,bukti pelanggaran
tilep,tilap
tioghoa,tionghoa
tipiwan,TvOne
tirani,tiran
tks,terima kasih
tlp,telepon
tls,tulis
tmbah,tambah
tmpah,tumpah
tmpt,tempat
tnda,tanda
tnh,tanah
togel,toto gelap
tp,tapi
tpi,tapi
tq,terima kasih
tren,trend
trending,trend
trgntg,tergantung
trims,terima kasih
trlalu,terlalu
trs,terus
trus,terus
tsangka,tersangka
ttp,tetap
tuh,itu
uasai,kuasa
udah,sudah
udh,sudah
utk,untuk
waspadalah,waspada
watuk,batuk
wkwkkw,tertawa
wtb,beli
wts,jual
wtt,tukar
y,ya
yg,yang
zonk,bodoh
