content
terbaik
"masih banyak bug, notif error muncul terus, mau perbaiki data alamat sudah, error. cek saldo jg error. gmn ini kakak? jadi ngeri mau mempercayakan keuangan dg bank ini"
"pelayanan kurang baik ,perlu jawaban mengenai keluhan untuk naik level prioritas ,yang di jawab Laen pihak cs bank Sinarmas , sangat2 kecewa yg di tanya Laen yg di jawab Laen tidak sesuai dengan persoalan saya,apk se macam cs pembalasan oto dari computer,tidak jelas"
fitur lengkappp
good
excellent
ok
keren
sanabgat baik dan membantu
bagus
nice
bagus..cuman aplikasiya masuk pertama tanpa kunci
baik
👍
"masih agak lambat pas bukanya, terimakaaih"
baguuuuss
keren dan sipel
gangguan terus
Ok
sangat bagus sinarmas
makin keren dan mudah di gunakan
pelayanan sangat baik menuju bintang 5...asalkan tidak sering error terutama saat Sinarmas corporation gajian
mantap
sangat membantu
biaya transfer free
baikk
mudah bertransaksi
sangat membantu dalam bisnismu
bayar churn bos
sangat baik
mau vermuk aja gagal mulu team IT nya kocak bgt ini asli
"saya kasih bintang 2 dulu ,sudah sebulan bikin kartu debit GK sampe2 ,GK tau hilang di jalan atau gimna a yang jelas jadi GK aman ,udah 3x buat pengaduan hanya harapan saja 7 hari kerja dan terus kaya gitu sampe sekarang Udha sebulan kalau dalam 3 hari masih GK ada juga kartu debit nya terpaksa sya tutup rekening secara tidak aman lagi kartu debit belum sampe ke tangan"
"Bintangnya aq kasih full, Karena cepat tanggap menangani terkait masalah ga bisa transfer ke bank lain/rekening baru.. Tks cs dan tim yang sudah mendengarkan keluhan kami 🙏☺️"
sering bermasalah dan eror. berkali2 daftar. sudh berhasil tapi keluar lagi
"lupa pin sama no rekening pas ganti pin malah kode nya salah mulu, mohon diperbaikin oy kacau apk ini. mohon tambahin otp nya ke email/wa biar lebih gampang"
Lancar
mantap pokoknya
"setelah update malah tidak bisa transfer, untuk menambahkan no rekening atau menambahakan bank selalu mental kembali ke awal. sudah coba menghubungi CS ny malah jawaban nya di suruh menunggu."
"Parah Bank Sinarmas Tukang tipu. Saya WD dari Nanovest ke Bank Sinarmas katanya nya Gratis tapi Gratis nya cuma sekali. Kecewa saya kirain Gratis terus Kalo WD dari Nanovest ke Bank Sinarmas bilang dong kalo Gratis WD nya cuma sekali, kejebak saya buka Rekening di sini😡"
"upgrade versi terbaru gagal total, tidak bisa transfer ke rek baru, d klik penerema bank baru selalu mental balik lagi ke halaman sebelumnya"
tolong perbaiki transfer ke rekening baru tdk bisa😔
Sangat memuaskan sip SimobiPlus 1000%😘😘😘👍👍👍👍👍
oke
mantul
joz
"aplikasi apa ini mental terus, tiap mau verifikasi wajah"
admin ny lemot
best karena tdk ada pot admnt
ini aplikasi gmn dah mau tf ga bisa klik banknya
"gagal meripres dalam aplikasinya, aplikasinya eror gagal memuat mulu."
lancar selalu di pakai
bagus dan cepat
memudahkan
mantap Anda luar biasa
karena bagus saya kasih bintang 5
"Puas sekali menggunakan simobi plus,bebas biaya admin bulanan, transaksi lancar,gratis transfer ke semua bank, gratis tarik tunai di semua ATM. Pokoknya gak nyesal pakai Simobi plus bank Sinarmas. (*Saya pakai rekening Simas digi)."
selalu luar biasa
sangat membantu sekali
sangat tepat buat saya
"saya tdk bisa masuk/ log in, baru buka aplikasi trus mental k google play store, pdahal baru memperbaharui..."
bagus dan serbaguna
aneh semenjak update malah makin ga jelas
eror nya banyak
"jika hp rusak/hilang jadi sulit mendapatkan rekening sinarmas kita lagi karena harus unlink dulu dengan hp lama, masalahnya kita wajib jawab semua pertanyaan dengan benar, jika ada yg salah maka selamanya uang di dalamnya akan hilang dari kita"
untuk login tolong diberikan opsi untuk otp bisa ditambahkan via whatsapp atau email.
bagu dan gangpang digunakan
terbaik. hanya saja sms untuk otp sulit masuk
ini gak bisa dibuka simobi nya
setelah di update jadi tidak bisa kirim uang. setiap mau masukan no rek / milih bank selain Sinarmas pasti langsung keluar sendiri dari pilihan.
hai kenapa hari ini tidak bisa untuk payment boking kereta dari KAI accest ya
sangat bgus aplikasinya
kemudahan dalam bertransaksi.
mau daftar login malah logout sendiri ni apl
"Aplikasi tidak dapat di gunakan,"
kenapa tidak bisa upload
"kenapa buka simobi masuknya ge play store mulu dari tdi, ga beres ini"
"Kenapa SimasTara yang sudah terkumpul 2,5jt, hanya bisa dicairkan 500rb... Saya minta tolong penjelasan di aplikasi SiMoBi.. Masalah ini terjadi setelah update terakhir aplikasi SiMoBi. Terimakasih 🙏"
"semuanya serba di mudahkan ,simpel pokoknya ok"
sangat membantu. mudah untuk transaksi
bagus aplikasi nya membantu banget
Bagus buat karyawan sinarmas
aplikasi yang sangat membantu
"BANK SAMPAH. UANG KU HILANG 26 JUTA, DARI BULAN APRIL TANGGAL 30. SETIAP HARI DI TELPON MENGENAI PERKEMBANGAN TAPI JAWABAN SELALU SEDANG DALAM PENGECEKAN. PADAHAL JATUH TEMPO DI WA NYA TANGGAL 4 JUNI. INI SUDAH TANGGAL 5 BELUM JUGA SIAP PROSES NYA. SETIAP HARI JAWABAN NYA BANK TIDAK DAPAT MENJANJIKAN PENGEMBALIAN DANA. PADAHAL SEMUA BERKAS DARI AWAL SUDAH KU BERI. DI WA NYA TIBA TIBA JATUH TEMPO NYA SUDAH TIDAK DI TERANGKAN LAGI. JANGAN PAKAI BANK INI. SAMPAH INI BANK."
"nyaman dan sangat membantu ,thnks"
mnatap
aplikasi bagus
"saya baru membuka akun Simas digi, namun pada bagian email verifikasi terdapat pemberitahuan ""terjadi kesalahan dan coba lagi"" semoga cepat diperbaiki"
good products and services
trf antar bank dalam hari kerja free bagus sekali
Terima kasih
"untuk pembayaran lewat virtual account mohon ditambahkan kolom utk isi keterangan, agar kita bisa tuliskan sumber dananya dari mana utk pembayarannya"
bagus dan sangat berguna sekali..terus ditingkatkan dan tingkatkan lagi.. terima kasih
"sangat memuaskan, gk ribet, dan gratis transfernya banyak"
"log in keluar masuk keluar masuk terus, berkali-kali ulang dari awal,buang waktu saja"
Setiap update tidak bisa masuk
suka bgt sama Sinarmas
"sinyal nya kadang-kadang suka hilang,, internet nya juga kadang-kadang lambat"
mantap 👍🏼
free transfer yang saya suka
mudah utk pembayaran dll
"tarik tunai cashless sangat susah menunggu sms otp nya, padahal pulsa ada. mending kasih opsi lewat whatsapp/email."
okeee
kode otp ga terkirim tolong bantuannya
aplikasi mantap
lekkkk
love simobi
lancar
"mudah digunakan, respon cepat"
okey
sangat bagus
Mantap
transaksi mudah
sangat baik.sukses trus sinarmas💪🙏
"transfer mudah, untuk pembayaray jg mudah"
saya terbantu sangat
"simobi tidak stabil sudah 3 kali ganti jaringan ,di kirain jaringan nya yg lemot. ternyata sering gangguan simobi jadi kepending transaksi pembayaran.. nyesel pakai bank Sinarmas udh atmnya jarang pula"
Aplikasi sampah gangguan mulu bikin naik darah 😡😡😡
"oke, membantu urusan hari hari"
"bagus, cepat biaya free"
sangat membantu.bebas biaya tf
"Bagus, aplikasi berjalan normal dan cepat"
TOP BGT
sinarmas is thebest
godd
baik & mudah
"sangat sangat kacau, seharusnya ada verifikasi 2 langkah foto muka biar lebih aman, kejadian KTP bapak saya disalahgunakan di aplikasi ini dan tiba tiba saldo kepotong lumayan banyak, lapor cs juga ga ada tindakan yang berarti.."
sangat kecewa dengan pelayanan Bank Sinarmas...rekening aman tidak ada masalah dan tidak terblokir tapi di buat transaksi tidak bisa lapor cs di suruh nunggu 20 hari jam kerja .....mau TF uang sendiri di bikin susah
"something wrong terus, ujung2 nya malah nunggu 24 jam, ttep ga bisa di pake, kalau ke bank langsung harus ada 500 rb 😩 sedangkan saya butuh buat kerjaan"
setelah di update tidak bisa login menggunakan jaringan WIFI
"bank apalah gk dh jlsnya nya kode OTP gk msuk"""
Sangat membantu dan mudah
setelah di update jadi ga bs log in
Woke
"Keren cepat, mudah, dan lancar"
masih agak berat aplikasinya dan keluar sendiri di saat mau bagikan hasil transferan
"sangat parah sekali, trnasfer saldo kepotong tapi dana tidak masuk, dan sudah melapor proses nya lama dan berhari², dan sangat tidak rekom menggunanakannya. sangat kecewa sekali, parah, setiap melapor jawabannya hanya MOHON MENUNGGU saja, bank² lain tidak perlu nunggu berhari² dana langsung kembali, PARAHHHHHHHHHHHH, KECEWAAAAAAA"
pelayanannya gimana sii nominal kecil aja pake qris malah statusnya proses berhari hari gak masuk masuk udah 3 kali loh gimana siii baru kali ini pake bank yang pelayanan kek giniii udah lapor maksimal 15 hari pula nominal kecil nunggu 15 hari buat apa sekelas Sinarmas gak bisa mempercepat kah haaaa!!
makin mudah pembayaran lewat simobi. terima masih semoga makin baik lagi ke depannya
memudahkan dalam hal apapun
recommended sekali
buruk SE x coba masuk ga masuk2
memuaskan
semua serbaa simpel dan cepat praktis baget lah pokoknya nya gratis 20 kali transfer lagi
Baik
mudah di gunakan dan simple
Aplikasi Ter The Best mantappp la pokoknya
saya kecewa sama aplikasi ini saya dari siang sampe malam ini daftar gagal terus padahal cara-cara nya sudah benar
Tidak ada menu reset diaplikasinya. saat lupa password / lupa no. rekeningnya. Sudah tak dapat login mohon bantuanya.
"aplikasi lemott mau bayar bau transaksi loading, Server buluk"
kenapa Nerima kode OTP nya sudah ya
App is the best
praktis dan simple
M-Banking andalan
mantap pertahankan gratis transfer antar bank
"pengalaman pertama bikin atm,sangat puas terima kasih bank sinar mas"
"nyesal nabung disini,banyak masalah & cs nya slow respon....semua serba lama"
tranfer ke bank lain gratis
sangat berguna unt transaksi pembayaran
"Mudah,Akurat,dan dapat d percaya untuk semua urusan lebih gampang dalam 1 aplikasi mksh simobiplis dan Bank sinarmas"
good my Sinarmas
pelayanan buruk sudah ngantri lama dipanggilan online eh gak juga terhubung
kenapa yang 2 hari ini ngga bisa di buka aplikasinya?
mantap djiwa
Saldo udah kepotong tetapi pembayaran belum berhasil. cardless Saldo sudah Kepotong sebelum uang keluar !!! Prosses laporan ribet. dari CS bank Suruh ke CS CALL !!
fast respons 👏
sangat membantu untuk mengatur uang dan transaksi
bagus sekali multifungsi
cepat dan tanpa biaya adm kalau kirim
otp ribet
kenapa simobi saya masuk dari pin muter terus ya. padahal sudah restart HP
transaksi menjadi lebih mudah dan simple
sangat puas dgn simobi
sangat simpel kalo bisa ada suara notip nya yg unik kaya brimo
"tidak jelas,, pegembalian dana nasabah lambat,, tidak kayak bank bank lain... penarikan jam 09:00.. dana tidak keluar,, di suru menunggu 1x24 jam sudah lebih dari 1x24 jam dana tidak di kembalikan, malah di bkin laporan lagi menunggu 5 hari kerja dasar penipu"
luar biasa
aplikasi eror
ringan mudah
ok. menu lengkap.. hanya saja 1st open aplikasi lama terbukanya.
Bagus
kenapa tidak bisa login ke aplikasi
dari dulu Beta simpan uang di bank tapi dari semua bank hanya Sinarmas bank andalan Beta
kenapa simobiplus tidak ada username Dan password untuk masuk. langsung pin saja. tolong tambahkan username Dan password untuk keamanan.
"sangat memuaskan, tf gratis, cepat tanggap n aman"
pengiriman dan tarik cepat biaya admin murah
banyak untungnya 👍tengkyu simobi
tingkatkan ya
praktis
Aplikasi yg sangat bagus dan sangat membantu untuk aktifitas perbankan.
Mantaap..
aplikasi ini sangat membantu untuk segala transaksi 👍
bagus lumayan membantu . semoga kedepannya lebih di perbaiki lagi aplikasi nya
mantapp
kenapa gak bisa masuk simobi? padahal jaringan saya bagus
tidak bisa dibuka gangguan Mulu pas waktu genting buat TF gak bisa buka
salah pin 1x langsung riset ulang
koneksi cepat
"Sangat membantu,"
mantap dan aman
Mksh udah di update lebih bagus... Best respon
Okay
Mudah praktis dan efisien
simpel penggunaan aplikasinya. mudah untuk semua nya. terima kasih.
sampah byak bget kendala nanjis
"proses cepat, semoga selalu memberikan yang terbaik, terutama membantu mobilitas nasabah..."
mantap mantap mantap mantap
untuk bifast mohon tidak ada limit tranfer
"Bagus , simple"
bunga jalan terus
kenapa apk ini di playstor saya tdk bisa di download.mohon bantuan nya admin
sangat membantu untuk bertransaksi..luar biasa
semuanya smart dan mudah
untuk pengaduan cepat di tangani..sangat bagus service nya
"Aplikasinya bagus sangat membantu sekali, transfer ke semua bank gratis 👍👍👍"
kok udah masukin nomor blm ada otp nya ya min di pesan
mantab
👍sangat baik
transfer ke bank manapun gratis
Excellence service BI Fast is free here
MantAPP...
cepat dan mudah
Simobiplus mudah daftarnya enggak ribet dan mudah digunakan untuk transaksi online
sngat membantu
Sangat bagus pelayanannya
SINARMAS MEMANG OK PUNYA BINTANG 5 UNTUK SINARMAS.
Aplikasinya Makin Bagus & Tambah Memuaskan Untuk Bertransaksi.. Thanks Simobiplus
pokoknya mantap lah
"16 tahun jadi konsumen,Alhamdulillah sinarmas the best"
sangat-sangat baik sekali
tidak bisa dibuka setelah update terbaru ini
sangat memudahkan keperluan saya
baik semuanya
mantap lah terimakasih banyak buat sinarmas jaya lah selalu
hallo aplikasi tidak bisa bekerja di hp saya. bisakah pihak developer memperbaikinya agar bisa di gunakan?
mantabs... sangat puas dengan adanya simobi+
mantap sekali
sangat berguna
di android 12 tidak bisa ijin akses galeri. jadi bukti transaksi tidak bisa di simpan
"joss, sangat membantu"
dana tunai jaya-jaya-jaya
mudah banget
bagus bgt aplikasinya
good apps
"sangat baik, simple"
sangat bagus buat transaksi
sangat Handal dalam Melayani transaksi saat ini
makasih atas saran dan ulasan buat aplikasi simobi sangat bagus.
baguss
atm setor tunai nya sama tarik tunai nya di banyakin dong di cikarang
transaksi cepat
simobi lebih aman
lebih baik daripada mbanking yg lain
mudah dan cepat sekali untuk transaksi mantap pokok nya 👍🙏
Stabil jarang gangguan
"saya suka dengan simobi ,uda dpet free tranfer beda bank"
puas tapi sayang lwoadingnya agak lambat gak papa cukup mantap
"baik, aman"
"Kamprett berulang kali tarik tunai tanpa kartu gagal, SMS gak masuk, disaat lagi kepepet butuh narik Dan Tapi Gak bisa narik,,, Bikin berantem sama pasangan, Udah Capeeeekkk,, Tarik dana, Semua keluarga dalam dan luar kota saya minta pindah Bank Aja,,, PAYAAAAAAH...."
kode otp ga di kirim
"lncar,aman dan mudah d pahami"
APLIKASI RIBET_TDK APLIKATIF KONSUMERISME_MEBCURIGAKAN.PERBAIKI SISTEM YG RASISME.
enak banget pake simobi bisa transfer garatis lain bank
Verry good
"sederhana, praktis ,cepat,mudah"
kenapa saat masuk awal harus ada verifikasi wajah. masih bagus aplikasi yang awal. karena tidak perlu verifikasi wajah. padahal verifikasi wajah harus ada persetujuh dari nasabah.
Tarik tunai tanpa kartu kendala terus
sangat puas trimaksih
sangat flexible
"kerenn, , transfer gampang 0 rp"
"fitur butuh bantuannya tidak berguna, selalu di end call padahal sedang menjelaskan data untuk daftar ulang simobinya 😫."
"sampah, pas upgraded ke simobiplus gabisa di app nya, tapi pas di check di admin nya bahwa akun sudah berhasil dibuat. pas telpinan gaada solusi yang konkret. aneh bgt nih m bankin"
nah mantap sekarang.. terus di improve ya
"apk gajelas otp harus pake pulsa, tadi siang saya jauh jauh darii rrumah ke kantor cabang mau ituin mbangking malah gabisa nunggu dari jam 1 sampe jam 3 malah di suruh besok lagi aja , jauh jauh pulang kerja ga tidur lagi malah gada haasil kosong, custemer sarvis ga nyelesain masalah apapun malaah di suruh nunggu, isi pulsa uda berapa kali abisa gara aa otp terus padahal mau maasuk mbangking donv susah baanget reset pin doang paadaal gabisa ke kantor cabang"
"alangkah bagusnya jika setiap uang keluar masuk, ada notifikasi di email!"
"aplikasi sangat memudahkan, Simobi+ the best"
susah foto ktp nya kameranya gelap
"APK sangat membantu, gratis biaya transfer 20x k bank lain setiap bulannya. Mantap Simobi."
sudah 2 thn menggunakan Simobi sampai saat ini sangat memuaskan
"bank paling hancur yang belum pakai, jangan pakai bank ini. pakai bank lain aja. bank ini gak jelas."
gratis dan mudah
alhamdulillah...transaksi mudah dan efektif
setelah update sering mental gk ke buka jaringan bagus pakai celluler atau wifi sama aja. mending versi lama
sangat mudah
aman dan terpercaya
good lah
sangat baik . simobi boleh lah
suka banget apl nya.gak ribet.gratis tf
nyaman dipakai nya
"aplikasi sangat baik , transfer gratia tapi memang di batas , tial bulan suka dapat bunga , potongan kecil makasih Simobi, good pisan"
bagus cepet juga
"mudah digunakan, cepat tanpa delay transaksinya + aman terjamin"
top mbanking
jaringan mantaf
apk is good
sangat memuaskan
aplikasi yang sangat membantu👍👍👍
Sangat bermanfaat
terbaik sih
"good service, excellent features, costumers satisfied"
mudah dan lancar
keren dan baik
"Lancar di gunakan tanpa ada kendala apapun, transfer jadi lebih mudah sat set"
"aplikasi mudah dan lancar, bea transfer gratis ke semua bank dengan BI fast"
bagus sekali
"mudah digunakan, tolong adakan layanan untuk topup e-money"
Terbaik
good👍
ok banget
Dumai baik
simobi memudahkan kita untuk transaksi kemana saja
byk gratisan
mempermudah dalam bertransaksi
"mudah,lengkap dan sangat bermanfaat."
Very Good
bagus banget
good job 👍👍
fitur lengkap. desain modern. untuk transaksi sangat cepat
sangat membantu dalam transaksi financial
"OTP buat login aja pake pulsa, orang lagi urgent pengen transfer ga bisa, masa iya kalah sama komunitas bocil gamer yang kode OTP nya gratis lol"
Alhamdulillah memuaskan
mantappp pollll
"Transaksi lancar, gratis 20x transfer ke semua bank setiap bulan. Good"
"Bank Terbaik,... mudah dan aman selama ini tidak ada masalah dalam transaksi,. server stabil"
okehhh... bagus sekali aplikasinya
"Terbantu banget, utk tiap transaksi transfer pun pembayaran tagihan. Gak ribet, cepat dan aman."
layanan paripurna
saya sangat puas dan nyaman menggunakan simobiplus ini tidak ada biaya transaksi dan potong lainny
emang paling top dah
"sangat membantu sekali untuk segala transaksi keuangan,semoga makin meningkat kualitasnya khususnya diwaktu weekend"
"Mantap, thanks Simobiplus"
guud
"ini bank baik bnget,,transfer gratis terus betah gw transakdi ma ni bank..btw thank for this apps🙏🏿"
Mudah dan sangat membantu dengan gratis ongkos antar bank...terimakasih
sippp
layanan cepat 👍👍🙏
easy to use
memverifikasi KTP tidak bisa diambil dikarenakan layar untuk verifikasi hitam
lancar jaya trx mudah
apakah ini aplikasi yang terbaru? bisa bahasa Indonesia nggak ya?
Mempermudah saya utk transaksi
good support
"daftar sinarmas merchant dari pertengahab februari melalui app sinarmas ga ad kejelasan tulisannya 11-15 hk statusny cuman menunggu review, hapus aja fiturnya"
pokoke mantap simobi
"sangat bagus, dengan biaya transfer o% namun ada sedikit kendala waktu pengisian paket data... data berapa GB tidak terlihat"
utk transaksi apapun lbh mudah pakai simobi
sangat penting
transaksi lancar jaya
Satu-satunya bank yang gue percaya
Simobi semakin mantap
"mudah digunakan, no biaya2. gass"
sangat membantu di transaksi apapun
transfer gratis
cepat dan tepat
"lebih tingkatkan lagi gratis transfernya, jangan di kurangin. terus sama pas sudah transfer, tidak bisa langsung di share struknya."
bagus layanannya
simpel dan cepat
great bank
minta tolong top up dana sama gopay jangan pake admin 🙏🙏🙏
mantap👍👍👍
membantu
Mudah dan Aman
the best lah....
mantap semoga sukses selalu simobiplus
ok cepat
lebih efisien
"ok bangat, bebas biaya tranfer ke semua bank🙏👍👍"
cepat simpele
tambahkan fitur transfer di e wallet seperti dana Shopee ovo dll🙏🙏
sangat membantu dan transaksi sangat mudah
sangat bagus skali
sangat bagus dan mudah untuk bertransaksi apapun
